
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. SF2_MSS_sys, 970, 1561, 237, 0, 0, 0, 9, 4, 52
.	. SF2_MSS_sys_sb, 970, 1561, 237, 0, 0, 0, 9, 4, 2
.	.	. CoreAPB3, 0, 286, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 282, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO, 180, 301, 0, 0, 0, 0, 1, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. SF2_MSS_sys_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 3, 0
.	.	. SF2_MSS_sys_sb_COREI2C_0_COREI2C, 119, 344, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2C_COREI2CREAL, 111, 342, 0, 0, 0, 0, 0, 0, 0
.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_CoreUARTapb, 171, 212, 19, 0, 0, 0, 2, 0, 0
.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_COREUART, 147, 175, 19, 0, 0, 0, 2, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Clock_gen, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Rx_async, 39, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Tx_async, 23, 24, 5, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_256x8, 21, 21, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_ctrl_256, 21, 21, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_ram16x8, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_256x8_0, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_ctrl_256_0, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_ram16x8_0, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	. SF2_MSS_sys_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. SF2_MSS_sys_sb_IO_0_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. SF2_MSS_sys_sb_IO_1_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. SF2_MSS_sys_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. corepwm, 202, 63, 168, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_pwm_gen, 3, 9, 72, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_reg_if, 164, 19, 24, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_timebase, 32, 33, 72, 0, 0, 0, 0, 0, 0
.	.	. corespi, 289, 353, 50, 0, 0, 0, 6, 0, 0
.	.	.	. spi, 289, 353, 50, 0, 0, 0, 6, 0, 0
.	.	.	.	. spi_chanctrl, 218, 206, 31, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_0, 18, 59, 13, 0, 0, 0, 3, 0, 0
.	.	.	.	. spi_fifo_1, 18, 53, 6, 0, 0, 0, 3, 0, 0
.	.	.	.	. spi_rf, 35, 28, 0, 0, 0, 0, 0, 0, 0
